gram_type,gender_id,worte_de,worte_es,plural,niveau_id,example_de,example_es,verb_aux,trennbar,reflexiv
adjective,,eigen,propio,,B1,"Das ist meine eigene Wohnung.","Este es mi propio departamento.",,,
noun_common,Maskuline,Haufen,montón,Haufen,B1,"Vor der Tür liegt ein Haufen Schuhe.","Hay un montón de zapatos frente a la puerta.",,,
noun_common,Femenin,Kohle,dinero,Kohlen,B1,"Ich habe gerade keine Kohle für den Urlaub.","Ahora no tengo dinero para las vacaciones.",,,
verb_main,,entscheiden,decidir,,B1,"Wir müssen heute über das Projekt entscheiden.","Tenemos que decidir sobre el proyecto hoy.","haben","No","No"
noun_common,Maskuline,Angestellter,empleado,Angestellte,B1,"Der Angestellte hilft dem Kunden sehr freundlich.","El empleado ayuda al cliente muy amablemente.",,,
noun_common,Femenin,Angestellte,empleada,Angestellte,B1,"Die Angestellte beantwortet alle Fragen geduldig.","La empleada responde a todas las preguntas con paciencia.",,,
verb_main,,versuchen,intentar,,A2,"Ich werde es noch einmal versuchen.","Lo voy a intentar una vez más.","haben","No","No"
noun_common,Femenin,Arbeitszeit,tiempo de trabajo,Arbeitszeiten,B1,"Die Arbeitszeit in dieser Firma ist flexibel.","El tiempo de trabajo en esta empresa es flexible.",,,
adjective,,hässlich,feo,,A2,"Ich finde das Bild ziemlich hässlich.","Encuentro el cuadro bastante feo.",,,
adjective,,behindert,discapacitado,,B1,"Sie arbeitet in einem Projekt für behinderte Menschen.","Ella trabaja en un proyecto para personas con discapacidad.",,,
verb_main,,schlagen,golpear,,B1,"Er hat wütend auf den Tisch geschlagen.","Él golpeó la mesa enfadado.","haben","No","No"
noun_common,Plural,Schulden,deudas,Schulden,B1,"Ich habe noch Schulden bei der Bank.","Todavía tengo deudas con el banco.",,,
noun_common,Maskuline,Scheiß,mierda,Scheiß,B2,"Was für ein Scheißtag heute!","¡Qué día de mierda hoy!",,,
adverb_sentence_connector,,eigentlich,en realidad,,B1,"Eigentlich wollte ich heute zu Hause bleiben.","En realidad quería quedarme en casa hoy.",,,
verb_main,,kriegen,conseguir,,B1,"Wo kann ich hier ein Taxi kriegen?","¿Dónde puedo conseguir un taxi aquí?","haben","No","No"
fixed_phrase,,Habt ihr komplett den Arsch offen?,¿Están completamente locos?,,C1,"Habt ihr komplett den Arsch offen, oder was?","¿Están completamente locos o qué?",,,
noun_common,Maskuline,Schwanz,cola,Schwänze,B1,"Der Hund wedelt fröhlich mit dem Schwanz.","El perro mueve la cola alegremente.",,,
noun_common,Femenin,Entscheidung,decisión,Entscheidungen,B1,"Das ist eine wichtige Entscheidung für unsere Zukunft.","Esa es una decisión importante para nuestro futuro.",,,
adjective,,zuverlässig,confiable,,B1,"Wir brauchen einen zuverlässigen Partner.","Necesitamos un socio confiable.",,,
noun_common,Maskuline,Zulieferer,proveedor,Zulieferer,B2,"Der Zulieferer liefert die Teile immer pünktlich.","El proveedor entrega siempre las piezas puntualmente.",,,
noun_common,Maskuline,Lieferengpass,cuello de botella en el suministro,Lieferengpässe,B2,"Wegen der Lieferengpässe verzögert sich die Produktion.","Debido a los cuellos de botella en el suministro la producción se retrasa.",,,
verb_main,,ausschließen,excluir,,B2,"Wir können diese Möglichkeit nicht völlig ausschließen.","No podemos excluir completamente esta posibilidad.","haben","No","No"
noun_common,Femenin,Unternehmensbeteiligung,participación en la empresa,Unternehmensbeteiligungen,C1,"Er hat eine Unternehmensbeteiligung an der Firma bekommen.","Él obtuvo una participación en la empresa.",,,
noun_common,Femenin,Schenkung,donación,Schenkungen,B2,"Die Schenkung muss notariell beurkundet werden.","La donación debe ser certificada por un notario.",,,
fixed_phrase,,businessmäßig weitermachen,seguir con el negocio,,C1,"Trotz der Krise wollen wir businessmäßig weitermachen.","A pesar de la crisis queremos seguir con el negocio.",,,
verb_separable,,anstoßen,brindar,,B1,"Lass uns auf den Erfolg anstoßen.","Brindemos por el éxito.","haben","Si","No"
