gram_type,gender_id,worte_de,worte_es,plural,niveau_id,example_de,example_es,verb_aux,trennbar,reflexiv
verb_main,,flüstern,susurrar,,A2,"Kannst du bitte nicht so laut sein? Ich muss flüstern.","¿Puedes no hablar tan fuerte? Tengo que susurrar.",haben,No,No
noun_common,Femenin,Gefahr,peligro,Gefahren,A2,"Es besteht Gefahr, dass jemand uns hört.","Existe el peligro de que alguien nos escuche.",,,
adjective,,eingeweiht,enterado (iniciado),,B1,"Nur wenige Leute sind in den Plan eingeweiht.","Solo pocas personas están enteradas del plan.",,,
fixed_phrase,,Halt die Fresse,cállate (muy vulgar/agresivo),,B2,"Er war wütend und rief: ""Halt die Fresse!""","Él estaba furioso y gritó: ""¡Cállate!""",,,
adverb_time,,derzeit,actualmente (formal),,B1,"Derzeit habe ich keinen Zugriff auf mein Konto.","Actualmente no tengo acceso a mi cuenta.",,,
noun_common,Femenin,Distanz,distancia (social/abstracta),Distanzen,A2,"Zwischen ihnen ist eine große Distanz entstanden.","Entre ellos se creó una gran distancia.",,,
noun_common,Femenin,Woche,semana,Wochen,A1,"Diese Woche habe ich viel zu tun.","Esta semana tengo mucho que hacer.",,,
noun_common,Maskuline,Tag,día,Tage,A1,"Der Tag war anstrengend, aber produktiv.","El día fue cansado, pero productivo.",,,
noun_common,Maskuline,Anfänger,principiante,Anfänger,A2,"Ich bin noch Anfänger und mache Fehler.","Todavía soy principiante y cometo errores.",,,
noun_common,Femenin,Anfängerin,principiante,Anfängerinnen,A2,"Sie ist Anfängerin, aber sie lernt schnell.","Ella es principiante, pero aprende rápido.",,,
adverb_time,,tagsüber,durante el día,,A2,"Tagsüber wirkt alles normal.","Durante el día todo parece normal.",,,
noun_common,Femenin,Operation,operación (médica),Operationen,A2,"Nach der Operation braucht er viel Ruhe.","Después de la operación necesita mucho descanso.",,,
adjective,,bunt,colorido/a,,A1,"Der Raum ist bunt dekoriert.","El cuarto está decorado de forma colorida.",,,
noun_common,Maskuline,Ball,pelota, Bälle,A1,"Der Ball rollt unter den Tisch.","La pelota rueda debajo de la mesa.",,,
noun_common,Femenin,Farbe,color,Farben,A1,"Welche Farbe magst du am liebsten?","¿Qué color te gusta más?",,,
verb_separable,,abräumen,recoger (la mesa),,A2,"Räum bitte den Tisch ab.","Por favor recoge la mesa.","haben","Si","No"
verb_main,,verlieren,perder,,A1,"Ich will keine Zeit verlieren.","No quiero perder tiempo.","haben","No","No"
verb_main,,vergessen,olvidar,,A1,"Ich habe deinen Namen vergessen.","Olvidé tu nombre.","haben","No","No"
noun_common,Neutrum,Lebensmittel,alimento (producto alimenticio),Lebensmittel,A2,"Frische Lebensmittel sind oft teurer.","Los alimentos frescos suelen ser más caros.",,,
