gram_type,gender_id,worte_de,worte_es,plural,niveau_id,example_de,example_es,verb_aux,trennbar,reflexiv
adjective,,schwer,pesado/a,,A2,"Der Rucksack ist heute wirklich schwer.","La mochila está hoy realmente pesada.",,,
noun_common,Maskuline,Wasserfall,cascada,Wasserfälle,A2,"Wir machen ein Foto am Wasserfall.","Tomamos una foto en la cascada.",,,
noun_common,Femenin,Postleitzahl,código postal,Postleitzahlen,A2,"Wie lautet deine Postleitzahl?","¿Cuál es tu código postal?",,,
verb_main,,fehlen,faltar,,A2,"Du fehlst mir.","Me haces falta.","haben","No","No"
adverb_degree,,circa,aproximadamente,,A2,"Es dauert circa zehn Minuten.","Tarda aproximadamente diez minutos.",,,
noun_common,Maskuline,Fall,caso,,B1,"Das ist ein schwieriger Fall.","Ese es un caso difícil.",,,
verb_main,,fallen,caer,,A2,"Das Glas fällt vom Tisch.","El vaso se cae de la mesa.","sein","No","No"
noun_common,Maskuline,Handel,comercio,,B1,"Der Handel mit Elektronik ist sehr groß.","El comercio de electrónicos es muy grande.",,,
noun_common,Femenin,Halle,salón / nave,HallEN,B1,"Wir treffen uns in der großen Halle.","Nos encontramos en el salón grande.",,,
noun_common,Maskuline,Berg,montaña, Berge,A2,"Wir wandern morgen auf den Berg.","Mañana caminamos a la montaña.",,,
pronoun_interrogative,,wofür,para qué,,A2,"Wofür brauchst du das Geld?","¿Para qué necesitas el dinero?",,,
verb_separable,,aufhören,parar / dejar de,,A2,"Hör bitte auf!","¡Por favor, para!","haben","Si","No"
verb_main,,bumsen,tener sexo (vulgar),,B2,"Er redet ständig darüber, dass er bumsen will.","Él habla todo el tiempo de que quiere tener sexo.","haben","No","No"
interjection,,na endlich,¡por fin!,,A2,"Na endlich! Du bist da.","¡Por fin! Ya estás aquí.",,,
noun_common,Femenin,Stelle,puesto / lugar,Stellen,B1,"Ich suche eine neue Stelle.","Busco un nuevo puesto.",,,
noun_common,Neutrum,Auge,ojo,Augen,A1,"Ich habe blaue Augen.","Tengo ojos azules.",,,
noun_common,Neutrum,Ohr,oreja / oído,Ohren,A1,"Mein Ohr tut weh.","Me duele el oído.","haben","No","No"
verb_separable,,weiterführen,continuar (algo),,B1,"Wir führen das Projekt nächste Woche weiter.","Continuamos el proyecto la próxima semana.","haben","Si","No"
noun_common,Maskuline,Deckname,nombre clave,Decknamen,B1,"Er benutzt einen Decknamen im Chat.","Él usa un nombre clave en el chat.",,,
verb_main,,decken,cubrir,,A2,"Kannst du den Tisch decken?","¿Puedes poner la mesa?","haben","No","No"
adjective,,egal,igual / no importa,,A2,"Mir ist das egal.","Me da igual.",,,
adverb_degree,,wirklich,realmente,,A2,"Meinst du das wirklich?","¿De verdad lo dices?",,,
