gram_type,gender_id,worte_de,worte_es,plural,niveau_id,example_de,example_es,verb_aux,trennbar,reflexiv
noun_common,Maskuline,Baum,árbol,Bäume,A1,"Der Baum ist sehr alt.","El árbol es muy viejo.",,,
noun_common,Neutrum,Dach,tejado/techo exterior,Dächer,A1,"Das Dach ist kaputt.","El tejado está roto.",,,
noun_common,Maskuline,Boden,suelo/piso,Böden,A1,"Der Boden ist nass.","El suelo está mojado.",,,
noun_common,Maskuline,Dachboden,ático,Dachböden,A2,"Auf dem Dachboden stehen alte Kisten.","En el ático hay cajas viejas.",,,
verb_main,,lachen,reír,,A1,"Wir lachen über den Witz.","Nos reímos del chiste.","haben","No","No"
noun_common,Femenin,Masse,masa/multitud,Massen,B1,"In der Stadt gibt es heute eine große Menschenmasse.","Hoy hay una gran multitud en la ciudad.",,,
adverb_time,,sofort,de inmediato,,A2,"Komm sofort nach Hause!","¡Ven a casa de inmediato!",,,
noun_common,Plural,Schmerzen,dolor(es),,A2,"Ich habe starke Schmerzen im Rücken.","Tengo dolores fuertes en la espalda.",,,
noun_common,Maskuline,Rettungswagen,ambulancia,Rettungswagen,A2,"Der Rettungswagen ist schon da.","La ambulancia ya llegó.",,,
noun_common,Maskuline,Führerschein,licencia de conducir, Führerscheine,A2,"Ich habe meinen Führerschein dabei.","Traigo mi licencia de conducir.",,,
noun_common,Neutrum,Ziel,meta/objetivo,Ziele,A2,"Unser Ziel ist klar.","Nuestro objetivo está claro.",,,
verb_main,,senken,bajar/reducir,,B1,"Wir senken die Preise.","Bajamos los precios.","haben","No","No"
noun_common,Femenin,Seltenheit,rareza,Seltenheiten,B2,"So ein Fehler ist eine Seltenheit.","Un error así es una rareza.",,,
noun_common,Maskuline,Schaden,daño,Schäden,B1,"Der Schaden ist größer als gedacht.","El daño es más grande de lo pensado.",,,
noun_common,Femenin,Versicherung,seguro (aseguranza),Versicherungen,B1,"Die Versicherung bezahlt den Schaden.","El seguro paga el daño.",,,
noun_common,Maskuline,Unfall,accidente,Unfälle,A2,"Er hatte einen Unfall auf der Autobahn.","Tuvo un accidente en la autopista.",,,
noun_common,Maskuline,Ausweis,identificación/documento de identidad,Ausweise,A2,"Kann ich bitte Ihren Ausweis sehen?","¿Puedo ver su identificación, por favor?",,,
verb_main,,verdienen,ganar (dinero)/merecer,,A2,"Ich verdiene nicht genug Geld.","No gano suficiente dinero.","haben","No","No"
noun_common,Plural,Geschwister,hermanos/as (siblings),,A2,"Ich habe zwei Geschwister.","Tengo dos hermanos.",,,
noun_common,Femenin,Erwartung,expectativa,Erwartungen,B2,"Die Erwartung war sehr hoch.","La expectativa era muy alta.",,,
adverb_sentence_connector,,deswegen,por eso,,A2,"Es regnet, deswegen bleiben wir zu Hause.","Está lloviendo, por eso nos quedamos en casa.",,,
noun_common,Femenin,Geschichte,historia/relato,Geschichten,A2,"Ich kenne deine Geschichte.","Conozco tu historia.",,,
conjunction_subordinating,,sondern,sino (sino que),,A2,"Ich gehe nicht ins Kino, sondern ich bleibe zu Hause.","No voy al cine, sino que me quedo en casa.",,,
determiner_quantifier,,beide,ambos/as,,A2,"Beide sind heute krank.","Ambos están enfermos hoy.",,,
noun_common,Maskuline,Spiegel,espejo,Spiegel,A2,"Der Spiegel hängt an der Wand.","El espejo cuelga en la pared.",,,
noun_common,Neutrum,Spiegelbild,reflejo,Spiegelbilder,B1,"Ich sehe mein Spiegelbild im Fenster.","Veo mi reflejo en la ventana.",,,
pronoun_indefinite,,irgendjemand,alguien,,A2,"Irgendjemand hat an der Tür geklopft.","Alguien tocó la puerta.",,,
noun_common,Maskuline,Beitrag,aporte/contribución/publicación,Beiträge,B1,"Danke für deinen Beitrag.","Gracias por tu aporte.",,,
noun_common,Maskuline,Gast,huésped/invitado,Gäste,A2,"Der Gast wartet an der Rezeption.","El huésped espera en la recepción.",,,
